ora,temperatura_u,temperatura_p,umidita',pressione,beccheggio,rollio,imbardata,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
2018-04-22 07:23:42.594392,37.36048889160156,34.78333282470703,29.363014221191406,1000.260986328125,6.447179055228292,72.94540946773901,32.53359803573976,0,0,0,0,0,0,0.22764535248279572,0.07870516926050186,-6.872229278087616e-06
2018-04-22 07:23:43.784687,37.32254409790039,34.77916717529297,29.785959243774414,1000.23828125,6.62412705850852,73.60295860932531,33.06098426231312,18.484577178955078,-20.197708129882812,-0.026449410244822502,-0.0037025348283350468,0.031563032418489456,0.01657138578593731,0.22764535248279572,0.07870516926050186,-6.872229278087616e-06
2018-04-22 07:23:44.936182,37.32254409790039,34.775001525878906,29.144121170043945,1000.234130859375,6.558425334448052,73.89845991357674,33.152068249989824,18.484577178955078,-20.197708129882812,-0.026449410244822502,-0.0034556991886347532,0.031077450141310692,0.01657138578593731,0.22550730407238007,0.07839974015951157,-6.872229278087616e-06
2018-04-22 07:23:46.112525,37.32254409790039,34.77916717529297,29.82676887512207,1000.199951171875,6.666903252619841,74.04877188664122,32.939031234682545,18.18291664123535,-19.65651512145996,0.24098974466323853,-0.003949370235204697,0.029620693996548653,0.016083991155028343,0.22764535248279572,0.07962147146463394,0.0009094253182411194
2018-04-22 07:23:47.296264,37.28459930419922,34.787498474121094,28.724885940551758,1000.249267578125,6.605157061862457,74.26941431758931,33.01130829647962,18.18291664123535,-19.65651512145996,0.24098974466323853,-0.003949370235204697,0.029620693996548653,0.016083991155028343,0.22459101676940918,0.0817594975233078,-0.0006177378818392754
2018-04-22 07:23:48.475576,37.30357360839844,34.77916717529297,29.11073112487793,1000.25439453125,6.62551187936274,74.12755811871732,32.71898986038141,17.992382049560547,-19.812429428100586,0.011933008208870888,-0.0024683563970029354,0.030834658071398735,0.01584029383957386,0.22062039375305176,0.0817594975233078,-6.872229278087616e-06
2018-04-22 07:23:49.649227,37.37946319580078,34.78125,29.785959243774414,1000.23681640625,6.376964283673739,74.69223034796978,34.13091632032269,18.22550392150879,-19.63778305053711,0.5651831030845642,-0.003949370235204697,0.0313202403485775,0.015596598386764526,0.22520187497138977,0.08114863187074661,-0.0018394682556390762
2018-04-22 07:23:50.926751,37.34151840209961,34.78125,29.4965763092041,1000.220458984375,6.4380628871204415,74.28278099779503,33.618327698586164,18.015235900878906,-19.59543228149414,-0.05129892751574516,-0.003949370235204697,0.0313202403485775,0.015596598386764526,0.22520187497138977,0.08114863187074661,-0.0018394682556390762
2018-04-22 07:23:52.085184,37.36048889160156,34.78125,28.279680252075195,1000.267578125,6.357382558210135,73.85754708044837,33.68458053353528,18.19907569885254,-19.9124813079834,0.2801734209060669,-0.002715192036703229,0.03059186413884163,0.015596598386764526,0.22520187497138977,0.08114863187074661,-0.0018394682556390762
2018-04-22 07:23:53.306963,37.37946319580078,34.77916717529297,29.17009162902832,1000.26171875,6.3856002041055735,74.19216487807647,33.46125042314879,18.246482849121094,-19.779111862182617,0.47658464312553406,-0.0024683563970029354,0.030834658071398735,0.015352901071310043,0.22428558766841888,0.07931603491306305,0.0012148581445217133
2018-04-22 07:23:54.457919,37.36048889160156,34.775001525878906,29.132991790771484,1000.240478515625,6.31254620829041,74.2285288052176,33.80797131598615,18.246482849121094,-19.779111862182617,0.47658464312553406,-0.0024683563970029354,0.030834658071398735,0.015352901071310043,0.22428558766841888,0.07931603491306305,0.0012148581445217133
2018-04-22 07:23:55.672737,37.3984375,34.78541564941406,28.379852294921875,1000.237060546875,6.341683795289684,74.14707196917604,34.06531235334472,17.788637161254883,-20.244417190551758,0.3480449318885803,-0.0024683563970029354,0.03059186413884163,0.01584029383957386,0.22428558766841888,0.07931603491306305,0.0012148581445217133
2018-04-22 07:23:56.808179,37.24665069580078,34.78125,29.210901260375977,1000.223876953125,6.460615744873,74.19763585960165,33.83428803485821,17.88379669189453,-19.990739822387695,0.8221267461776733,-0.0037025348283350468,0.02913510985672474,0.015352901071310043,0.22428558766841888,0.07931603491306305,0.0012148581445217133
2018-04-22 07:23:57.977606,37.32254409790039,34.78541564941406,29.092180252075195,1000.2548828125,6.464630615444499,73.84181032460066,34.63875454549148,17.80677032470703,-19.864320755004883,0.5431538820266724,-0.0024683563970029354,0.03059186413884163,0.016327690333127975,0.2239801436662674,0.0817594975233078,0.0006039924919605255
2018-04-22 07:23:59.148892,37.37946319580078,34.78125,28.51712417602539,1000.2314453125,6.446398279228796,73.87437666656328,34.235455780664324,17.88542938232422,-19.81756591796875,1.0996803045272827,-0.0024683563970029354,0.03059186413884163,0.016327690333127975,0.2239801436662674,0.0817594975233078,0.0006039924919605255
2018-04-22 07:24:00.326754,37.45535659790039,34.772918701171875,29.88241958618164,1000.2470703125,6.353681022566811,74.0032691663906,33.571694582027895,17.88542938232422,-19.81756591796875,1.0996803045272827,-0.0024683563970029354,0.03059186413884163,0.016327690333127975,0.2239801436662674,0.0817594975233078,0.0006039924919605255
2018-04-22 07:24:01.513469,37.3984375,34.78333282470703,28.95490837097168,1000.21533203125,6.273440813971148,74.18911178351748,33.33278139505002,18.399259567260742,-19.863840103149414,-0.3958349823951721,-0.003949370235204697,0.0313202403485775,0.015596598386764526,0.2239801436662674,0.07992690056562424,0.00029855966567993164
