ora,temperatura_u,temperatura_p,umidità,pressione,beccheggio,rollio,imbardata,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
2018-02-05 00:58:29.263550,35.286746978759766,34.875,25.510433197021484,1003.20556640625,2.2550238801899103,8.755981497065356,177.6093841579385,-66.37632751464844,-1.2085894346237183,6.636042594909668,0,0,0,0.0016878843307495117,0.0007485868409276009,0.00038198940455913544
2018-02-05 00:58:31.413657,35.23343276977539,34.85625076293945,26.251325607299805,1003.177490234375,2.2439248227886393,8.677301132921395,177.74758620560456,-66.47750091552734,-1.70103120803833,6.076026916503906,-0.03801268711686134,0.15125976502895355,0.9908714294433594,-0.0020233839750289917,-0.0009401226416230202,-0.0004043895751237869
2018-02-05 00:58:33.557460,35.34006118774414,34.86249923706055,28.605499267578125,1003.1640625,2.234294469502333,8.670896123027214,177.76467533890792,-66.47750091552734,-1.70103120803833,6.076026916503906,-0.03801268711686134,0.1515025645494461,0.9925772547721863,-0.0020233839750289917,-0.0009401226416230202,-0.0004043895751237869
2018-02-05 00:58:35.687320,35.215660095214844,34.889583587646484,27.57274055480957,1003.20751953125,2.231344894997945,8.656810565411355,178.06038154883444,-66.12256622314453,-0.8222761154174805,6.813262939453125,-0.03801268711686134,0.1515025645494461,0.9925772547721863,0.0010886192321777344,0.0003050724044442177,-2.0255334675312042e-05
2018-02-05 00:58:37.790326,35.19789123535156,34.883331298828125,27.717071533203125,1003.193359375,2.259149741335421,8.688545331842528,177.91134682114478,-66.12256622314453,-0.8222761154174805,6.813262939453125,-0.03949370235204697,0.15053139626979828,0.9952579140663147,0.0010886192321777344,0.0003050724044442177,-2.0255334675312042e-05
2018-02-05 00:58:39.898718,35.35783004760742,34.897918701171875,28.77869415283203,1003.190673828125,2.2470376815028725,8.692634907608072,177.8889301402888,-66.12256622314453,-0.8222761154174805,6.813262939453125,-0.03825952485203743,0.15053139626979828,0.9937956929206848,0.0010886192321777344,0.0003050724044442177,-2.0255334675312042e-05
2018-02-05 00:58:42.002783,35.26897430419922,34.86458206176758,27.120508193969727,1003.176513671875,2.2435696529517988,8.675645665821312,177.73963586541066,-66.12256622314453,-0.8222761154174805,6.813262939453125,-0.03900003433227539,0.1527165323495865,0.9918461441993713,0.0010886192321777344,0.0003050724044442177,-2.0255334675312042e-05
2018-02-05 00:58:44.106896,35.23343276977539,34.87916564941406,27.832534790039062,1003.21875,2.237862176126607,8.674814090289864,177.77793956627607,-66.12256622314453,-0.8222761154174805,6.813262939453125,-0.03974054008722305,0.15125976502895355,0.9930647015571594,0.0010886192321777344,0.0003050724044442177,-2.0255334675312042e-05
2018-02-05 00:58:46.232766,35.23343276977539,34.883331298828125,28.348913192749023,1003.210205078125,2.2450919313630653,8.695604332349737,177.8742862147083,-66.12256622314453,-0.8222761154174805,6.813262939453125,-0.03900003433227539,0.15223094820976257,0.9933083653450012,0.0010886192321777344,0.0003050724044442177,-2.0255334675312042e-05
2018-02-05 00:58:48.347736,35.34006118774414,34.87083435058594,30.372732162475586,1003.213623046875,2.2438945138241975,8.679127354750726,177.75448469666625,-66.2267837524414,-2.047048807144165,5.395988464355469,-0.03801268711686134,0.15174536406993866,0.9937956929206848,0.0010886192321777344,0.0003050724044442177,-2.0255334675312042e-05
2018-02-05 00:58:50.493091,35.322288513183594,34.87083435058594,27.10767936706543,1003.200927734375,2.2525436677475494,8.702977521558765,177.57761011791962,-66.2267837524414,-2.047048807144165,5.395988464355469,-0.03974054008722305,0.15198814868927002,0.9920898675918579,-0.00018992647528648376,3.236997872591019e-05,-0.00011650007218122482
2018-02-05 00:58:52.587238,35.286746978759766,34.90833282470703,27.094850540161133,1003.22314453125,2.245979855955167,8.703746771614037,177.69092295625012,-66.32437896728516,-1.8092011213302612,6.234412670135498,-0.03974054008722305,0.15198814868927002,0.9920898675918579,0.0013327933847904205,0.0012515941634774208,-0.0010312581434845924
2018-02-05 00:58:54.675803,35.215660095214844,34.891666412353516,26.90241050720215,1003.17919921875,2.24462961293362,8.705986219888155,177.50161743321405,-66.32437896728516,-1.8092011213302612,6.234412670135498,-0.03900003433227539,0.15028859674930573,0.9906277060508728,0.0013327933847904205,0.0012515941634774208,-0.0010312581434845924
2018-02-05 00:58:56.803504,35.35783004760742,34.945831298828125,27.659337997436523,1003.1865234375,2.24843573584861,8.688514595991263,177.73481375185662,-66.42697143554688,-1.9599521160125732,5.323674201965332,-0.03900003433227539,0.15028859674930573,0.9906277060508728,0.00010095909237861633,2.637505531311035e-05,0.000802207738161087
2018-02-05 00:58:58.907083,35.26897430419922,34.92499923706055,28.602291107177734,1003.222900390625,2.2435043392678606,8.70078503083519,177.85563979827415,-66.42697143554688,-1.9599521160125732,5.323674201965332,-0.03998737409710884,0.15053139626979828,0.9925772547721863,0.000704985111951828,0.0012465808540582657,0.0011073807254433632
2018-02-05 00:59:01.006819,35.25120544433594,34.93541717529297,27.335399627685547,1003.206298828125,2.241240771888236,8.730517698065903,177.87857557350705,-66.52490997314453,-1.0645318031311035,6.279378890991211,-0.03949370235204697,0.15247373282909393,0.9935520887374878,0.000704985111951828,0.0012465808540582657,0.0011073807254433632
2018-02-05 00:59:03.140946,35.322288513183594,34.93958282470703,27.38030242919922,1003.207275390625,2.2499573739296417,8.70769376718066,177.78181911372465,-66.52490997314453,-1.0645318031311035,6.279378890991211,-0.03924686834216118,0.1515025645494461,0.9920898675918579,-0.0023629777133464813,-0.0005874922499060631,-0.0010327976197004318
